symbol,open_time,datetime_utc,datetime_kst,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,sum_oi,sum_oi_value,cvd_delta,oi_delta,net_long_delta,net_short_delta
ETHUSDT,1773533700000,2026-03-15 00:15:00,2026-03-15 09:15:00,2092.8,2093.33,2090.85,2091.41,4043.534,8458091.62643,7727,2201.57,4604786.42095,2061138.073,4313529147.7936697,359.606,-210.385,-30.582,-390.188
ETHUSDT,1773534000000,2026-03-15 00:20:00,2026-03-15 09:20:00,2091.41,2091.6,2087.33,2090.67,15439.941,32257092.70398,15639,8701.125,18177493.9563,2060927.688,4310121120.29880047,1962.309,-384.588,596.5665,-1365.7425
ETHUSDT,1773534300000,2026-03-15 00:25:00,2026-03-15 09:25:00,2090.66,2094,2088.22,2088.36,12493.656,26120745.42368,14109,6508.455,13606445.35012,2060543.1,4307915642.87699986,523.254,-1215.519,-953.892,-1477.146
ETHUSDT,1773534600000,2026-03-15 00:30:00,2026-03-15 09:30:00,2088.35,2090,2088.05,2088.59,3413.204,7130010.19922,8451,1659.248,3466376.50991,2059327.581,4301008619.2975502,-94.708,-64.484,-111.838,-17.13
ETHUSDT,1773534900000,2026-03-15 00:35:00,2026-03-15 09:35:00,2088.59,2089,2085.08,2089,8750.619,18265420.05753,10736,4205.285,8779375.27478,2059263.097,4301098768.0629406,-340.049,738.933,568.9085,908.9575
ETHUSDT,1773535200000,2026-03-15 00:40:00,2026-03-15 09:40:00,2089,2090.38,2088.62,2089.79,3241.143,6772653.99205,5609,1914.342,4000024.18862,2060002.03,4302932240.26399994,587.541,-215.349,78.4215,-509.1195
ETHUSDT,1773535500000,2026-03-15 00:45:00,2026-03-15 09:45:00,2089.78,2089.78,2085.61,2086.3,6192.253,12923923.98952,8872,2024.296,4224174.57625,2059786.681,4305008484.16973209,-2143.661,-226.245,-1298.0755,845.5855
ETHUSDT,1773535800000,2026-03-15 00:50:00,2026-03-15 09:50:00,2086.29,2087.39,2086.02,2086.84,3269.136,6822300.93399,5741,1457.249,3041087.12132,2059560.436,4296860937.62679958,-354.638,-101.839,-279.158,75.48
ETHUSDT,1773536100000,2026-03-15 00:55:00,2026-03-15 09:55:00,2086.84,2087.93,2084.06,2086.83,6476.737,13513037.77622,8339,2425.324,5060875.23509,2059458.597,4297782498.2257061,-1626.089,-1036.097,-1849.1415,-223.0525
ETHUSDT,1773536400000,2026-03-15 01:00:00,2026-03-15 10:00:00,2086.82,2088.62,2086,2086.8,4503.514,9400603.05935,9118,2426.301,5064673.5454,2058422.5,4295577825.67500019,349.088,-765.182,-590.638,-939.726
ETHUSDT,1773536700000,2026-03-15 01:05:00,2026-03-15 10:05:00,2086.8,2088.15,2086.62,2087.34,2947.602,6152811.11085,6744,1735.054,3621766.62665,2057657.318,4293898714.62922001,522.506,345.425,606.678,84.172
ETHUSDT,1773537000000,2026-03-15 01:10:00,2026-03-15 10:10:00,2087.35,2087.35,2081.59,2085.15,9083.544,18931249.4201,13931,3572.22,7445060.86504,2058002.743,4296072892.84245968,-1939.104,-866.622,-1836.174,102.93
ETHUSDT,1773537300000,2026-03-15 01:15:00,2026-03-15 10:15:00,2085.16,2087.43,2085.16,2085.81,2467.91,5148853.57476,6239,1405.177,2931741.9744,2057136.121,4289477265.63540936,342.444,188.922,360.144,17.7
ETHUSDT,1773537600000,2026-03-15 01:20:00,2026-03-15 10:20:00,2085.81,2086.4,2083.44,2085.24,4176.252,8706970.51089,7735,2496.841,5205878.9885,2057325.043,4291600742.68334723,817.43,380.32,789.035,-28.395
ETHUSDT,1773537900000,2026-03-15 01:25:00,2026-03-15 10:25:00,2085.25,2086.12,2084,2085.01,3115.662,6497119.02743,5381,991.59,2067573.66775,2057705.363,4290830108.19575024,-1132.482,2.881,-563.36,569.122
ETHUSDT,1773538200000,2026-03-15 01:30:00,2026-03-15 10:30:00,2085.01,2085.16,2082.12,2083.94,5014.999,10448774.31601,11791,2289.418,4769792.10291,2057708.244,4289971878.33852005,-436.163,-87.104,-305.1855,130.9775
ETHUSDT,1773538500000,2026-03-15 01:35:00,2026-03-15 10:35:00,2083.94,2084.5,2083.01,2084,3063.62,6383463.78349,6751,1719.868,3583622.79341,2057621.14,4287958998.49160004,376.116,-310.548,-122.49,-498.606
ETHUSDT,1773538800000,2026-03-15 01:40:00,2026-03-15 10:40:00,2084,2085.76,2083.75,2085.44,4958.734,10338524.09069,7073,3323.882,6929910.27511,2057310.592,4287435273.72800016,1689.03,893.668,1738.183,49.153
ETHUSDT,1773539100000,2026-03-15 01:45:00,2026-03-15 10:45:00,2085.44,2086.77,2084.59,2086.77,2645.248,5517439.39759,5437,1667.14,3477427.13696,2058204.26,4292328168.2217741,689.032,-106.557,237.959,-451.073
ETHUSDT,1773539400000,2026-03-15 01:50:00,2026-03-15 10:50:00,2086.76,2090.3,2086.57,2088.42,6476.387,13528148.37863,12060,3742.598,7817472.87204,2058097.703,4294138533.40138006,1008.809,-579.686,-75.2815,-1084.0905
ETHUSDT,1773539700000,2026-03-15 01:55:00,2026-03-15 10:55:00,2088.42,2089,2087.02,2087.2,4100.692,8561841.35124,6007,1320.312,2756856.86091,2057518.017,4297203112.75421143,-1460.068,511.693,-218.341,1241.727
ETHUSDT,1773540000000,2026-03-15 02:00:00,2026-03-15 11:00:00,2087.2,2098.44,2087.2,2092.13,23787.447,49811941.95363,36049,15229.274,31889483.63967,2058029.71,4296019345.00541306,6671.101,1554.628,4890.1785,-1780.9225
ETHUSDT,1773540300000,2026-03-15 02:05:00,2026-03-15 11:05:00,2092.14,2096,2091.13,2094.23,16814.187,35212414.80752,22328,9726.854,20370831.31144,2059584.338,4308918181.05994034,2639.521,-1104.486,215.2745,-2424.2465
ETHUSDT,1773540600000,2026-03-15 02:10:00,2026-03-15 11:10:00,2094.22,2095.27,2093.33,2095,5242.517,10979559.21069,11746,2998.114,6279226.40079,2058479.852,4311154187.96477604,753.711,6.351,383.2065,-370.5045
ETHUSDT,1773540900000,2026-03-15 02:15:00,2026-03-15 11:15:00,2094.99,2095.68,2092.51,2094.39,6362.151,13319567.30256,13142,2657.564,5563969.88542,2058486.203,4312528595.28499985,-1047.023,78.326,-445.1855,601.8375
ETHUSDT,1773541200000,2026-03-15 02:20:00,2026-03-15 11:20:00,2094.4,2094.6,2090.72,2091.6,4836.032,10120267.35944,9857,1658.905,3471976.65899,2058564.529,4311436963.89231014,-1518.222,780.663,21.552,1539.774
ETHUSDT,1773541500000,2026-03-15 02:25:00,2026-03-15 11:25:00,2091.6,2093.6,2091.6,2092,2779.715,5817024.9176,5927,1271.452,2660658.67231,2059345.192,4307244029.77952003,-236.811,488.491,370.0855,606.8965
ETHUSDT,1773541800000,2026-03-15 02:30:00,2026-03-15 11:30:00,2092,2092.11,2089.71,2090.19,4104.103,8579574.65314,9711,1481.9,3097999.21005,2059833.683,4309396837.7805748,-1140.303,425.453,-144.6985,995.6045
ETHUSDT,1773542100000,2026-03-15 02:35:00,2026-03-15 11:35:00,2090.19,2092.28,2088.67,2092.01,2834.947,5926312.72534,7330,1759.157,3677621.68614,2060259.136,4306333043.47583961,683.367,-227.637,114.0465,-569.3205
ETHUSDT,1773542400000,2026-03-15 02:40:00,2026-03-15 11:40:00,2092.02,2103.72,2091.59,2102.73,55926.223,117334867.1939,29430,49446.062,103733762.55538,2060031.499,4309565295.59300995,42965.901,-31147.106,-9664.1555,-52630.0565
ETHUSDT,1773542700000,2026-03-15 02:45:00,2026-03-15 11:45:00,2102.73,2107,2098.94,2106.39,36197.949,76117624.31922001,49441,21781.282,45809072.36837,2028884.393,4264885215.90404272,7364.615,-2913.146,769.1615,-6595.4535
ETHUSDT,1773543000000,2026-03-15 02:50:00,2026-03-15 11:50:00,2106.38,2106.46,2099.23,2101,16419.354,34507501.54819,28817,7732.441,16249943.67745,2025971.247,4268133885.76737022,-954.472,2108.774,1631.538,2586.01
ETHUSDT,1773543300000,2026-03-15 02:55:00,2026-03-15 11:55:00,2101.01,2101.91,2098.56,2100.82,8972.429,18843060.06939,13923,3461.364,7269473.57558,2028080.021,4261099996.39683962,-2049.701,693.624,-331.2265,1718.4745
ETHUSDT,1773543600000,2026-03-15 03:00:00,2026-03-15 12:00:00,2100.81,2104.2,2100.67,2101.44,8179.556,17196969.19267,17296,4067.003,8550694.00237,2028773.645,4262025923.07576609,-45.55,1165.406,1142.631,1188.181
ETHUSDT,1773543900000,2026-03-15 03:05:00,2026-03-15 12:05:00,2101.44,2102,2100.09,2101.53,5453.14,11457404.29395,11153,1965.317,4129183.80797,2029939.051,4265795119.33343983,-1522.506,1393.272,632.019,2154.525
ETHUSDT,1773544200000,2026-03-15 03:10:00,2026-03-15 12:10:00,2101.53,2103.27,2100.3,2101.6,4923.12,10347445.69932,11202,2468.44,5188240.49576,2031332.323,4268905816.75418997,13.76,41.986,48.866,35.106
ETHUSDT,1773544500000,2026-03-15 03:15:00,2026-03-15 12:15:00,2101.6,2101.94,2093.63,2096.31,26330.356,55205646.31588,25384,8198.847,17185567.542,2031374.309,4269136247.79440022,-9932.662,-2934.647,-7900.978,2031.684
ETHUSDT,1773544800000,2026-03-15 03:20:00,2026-03-15 12:20:00,2096.3,2097.57,2094.9,2095.95,4047.697,8484400.97997,9631,2120.645,4445061.81582,2028439.662,4252616455.28837967,193.593,-25.235,71.5615,-122.0315
ETHUSDT,1773545100000,2026-03-15 03:25:00,2026-03-15 12:25:00,2095.96,2096.43,2094.07,2094.78,4868.248,10198271.07385,9091,2422.528,5074675.7297,2028414.427,4251380575.76377869,-23.192,-111.302,-122.898,-99.706
ETHUSDT,1773545400000,2026-03-15 03:30:00,2026-03-15 12:30:00,2094.79,2097.55,2092.33,2097.44,8048.48,16861891.28581,12234,4634.442,9710730.02507,2028303.125,4248869103.21875,1220.404,510.595,1120.797,-99.607
ETHUSDT,1773545700000,2026-03-15 03:35:00,2026-03-15 12:35:00,2097.45,2098,2096.09,2097.16,6956.129,14588410.79759,9138,2709.753,5682963.49695,2028813.72,4255335337.01399994,-1536.623,-1416.002,-2184.3135,-647.6905
ETHUSDT,1773546000000,2026-03-15 03:40:00,2026-03-15 12:40:00,2097.17,2097.54,2093.21,2094.27,3908.149,8187183.50074,6919,1371.917,2873711.3622,2027397.718,4251902562.57817936,-1164.315,-459.235,-1041.3925,122.9225
ETHUSDT,1773546300000,2026-03-15 03:45:00,2026-03-15 12:45:00,2094.28,2095,2092.43,2094.61,5757.689,12053701.42161,8775,2127.549,4453807.89617,2026938.483,4244956456.7924099,-1502.591,-543.184,-1294.4795,208.1115
ETHUSDT,1773546600000,2026-03-15 03:50:00,2026-03-15 12:50:00,2094.6,2094.61,2093.6,2094,2256.581,4725390.67991,4291,1015.146,2125715.19594,2026395.299,4245296376.34351015,-226.289,209.487,96.3425,322.6315
ETHUSDT,1773546900000,2026-03-15 03:55:00,2026-03-15 12:55:00,2093.99,2095.34,2093.54,2095.17,2415.88,5059875.98896,5024,1641.943,3438987.11237,2026604.786,4243690155.83614016,868.006,231.124,665.127,-202.879
ETHUSDT,1773547200000,2026-03-15 04:00:00,2026-03-15 13:00:00,2095.17,2098.88,2095,2098.57,6048.283,12680429.58482,11311,3580.893,7507737.44877,2026835.91,4246525256.83650017,1113.503,264.699,821.4505,-292.0525
ETHUSDT,1773547500000,2026-03-15 04:05:00,2026-03-15 13:05:00,2098.57,2102.4,2098.57,2100.24,10822.552,22732573.16158,17223,5948.719,12494959.21309,2027100.609,4253546291.88906002,1074.886,-111.049,426.394,-648.492
ETHUSDT,1773547800000,2026-03-15 04:10:00,2026-03-15 13:10:00,2100.24,2101.97,2099.29,2100.63,5812.948,12210625.50651,8840,2783.991,5848228.53452,2026989.56,4257069567.81093311,-244.966,979.526,857.043,1102.009
ETHUSDT,1773548100000,2026-03-15 04:15:00,2026-03-15 13:15:00,2100.64,2103.12,2100,2100.56,3923.815,8246031.88513,11874,1702.886,3578755.37702,2027969.086,4259978351.42436075,-518.043,114.058,-144.9635,373.0795
ETHUSDT,1773548400000,2026-03-15 04:20:00,2026-03-15 13:20:00,2100.56,2102.99,2098.31,2099.3,8243.115,17314369.21096,13502,3085.1,6480729.0071,2028083.144,4260703205.2596426,-2072.915,-321.489,-1357.9465,714.9685
